"portugues","tupi"
"Golpeamos um ao outro","oronheatõî"
"Consolas teu pai e tua mãe em suas aflições?","ereîmoîekosupe nde ruba nde sy sekotebẽsaba ri?"
"Logo, decerto, passarás no lugar em que moro","koromõ ipó eregûatá xe rekoápe"
"Daqui vou para longe, outras aldeias frequentando","kûé suí asó mamõ, amõ taba rapekóbo"
"Bateste com um pau na tua esposa!","ereropûar ybyrá nde remirekó resé!"
"Embora seja vinho, tão logo pronuncie o padre as palavras de Nosso Senhor Jesus Cristo, é seu sangue, na verdade","kaûĩ biãaûîé, îandé îara îesu cristo nhe'engûera abaré sa'angireme, sugûyramo nhẽ sekóû"
"Saqueei-lhe as coisas completamente","aîmba'e-pysyrõ-mbab"
"Compadece-te um pouco de mim, ó morte!","xe raûsubá-mirĩ îepé te'õ gûé!"
"Que não esteja o maldito perto de mim","t'oîkó umẽ moxy xe ypybo"
"Engasgou-me minha comida","xe îase'opytym xe remi'u"
"Minha lei é muito bela","xe rekó i porangeté"
"Hoje mesmo havemos de fazê-lo sumir","kori bé t'i mokanhẽ"
"Caem, às vezes, os frutos de suas árvores","okuî rakó amũme 'ybarambûera o 'yba suí"
"o fruto que Deus proíbe","ybá tupã remipysyrõ"
"Deixei-o pela metade","aîmoagûé"
"Tinjo-o com jenipapo","aîmongy îanypaba resé"
"Pode alguém beber cauim?","e'ikatupe abá okagûabo?"
"Ensoberbeci-me acerca de mim mesmo","aîerobîá xe îoesé"
"Quem és tu?","abápe nde?"
"Que tenhamos, em sua morada, junto de ti, a vida eterna","t'orogûerekó, setã-me, nde pyri, tekó-puku"
"E os rapazes que perseguem mulheres, fugindo sempre?","a'epe kunumĩgûasu kunhã oîmomosemba'e, onhegûasema memẽ?"
"Aquela lei nova, quem será que a trouxe?","aîpó tekó-pysasu abá serã ogûeru?"
"Que coisa é que fica batendo no rosto de seu próprio chefe?","mba'e-embiarĩ-pakó og ubixaba robá resé opûá-opûar?"
"Vem para ver tua futura terra","eîori nde retamûama repîaka"
"Hei de mexer hoje as igaçabas","t'aîpobu kori ygasaba"
"Os moradores da aldeia, velhos, velhas, moços, homens, moças, como meus súditos todos em minhas mãos os tenho","tapiîara, tuîba'e, gûaîbĩ, kunumĩgûasu, apŷaba, kunhãmuku, xe boîáramo pabẽ xe pópe arekó-katu"
"Será que a noite toda ages para fazer sumir as galinhas?","pysaré serã ereîkó arinhama mokanhema?"
"Ah, se eu tivesse ido para o céu!","asó me'ĩmo ybakype mã!"
"empobrecendo os índios","apŷaba mondyabó"
"Que sejamos dignos do lugar futuro de nosso regozijo","t'oré angaturãne oré îekosubagûama ri"
"Ah, quem me dera uma mulher viesse para o meu lado!","our temõ kunhã xe posé mã!"
"Fica com teus suditozinhos junto de nós","eropytá nde boîá'ĩ orébo"
"Deve ser substituída a esposa verdadeira?","sekobîarõmbyrape temirekó-eté?"
"Vem, ó meu senhorzinho!","eîori, xe îarĩ gûé!"
"Perdoa-lhes, ó meu pai!","nde nhyrõ i xupé, xe rub-y gûy !"
"Fazer feder esta aldeia com o desejo sensual","kó taba monema moropotara pupé"
"Atrai-me a roupa daquele","xe momotar ahẽ aoba"
"no meio, no centro, pelo meio, pela metade","oîopyterybo"
"Confessando a gente","asé monhemombegûabo"
"Eu estou opilado","xe apong"
"Dei-o em troca","sekobîaramo aîme'eng"
"Ele é medianamente grande","turusu nhote"
"mina de ouro","itaîu-kûara"
"Verdadeiramente, eis aqui teu caminho Não quero que tu te percas","anheté, kó nde rapé nd'aîpotari nde ropara"
"Eu sou muito longevo","xe rekosûé-katu"
"Eles, na verdade, em três pessoas se distinguem, na união de seu único ser divino","a'e anhẽ mosapyr pessoaamo i îa'oki, oîepé og ekó-karaíba îese'ara pupé nhẽ"
"armadilha de ratos, ratoeira","gûabiru rupîara"
"Visito os aposentos dos índios","aîosub abá koty"
"lugar em que estará fundada a igreja","tupãokupagûama"
"guará da cara manchada","gûaraobanhana"
"Aquentam-me","xe pé"
"Amarraram-no com corda, fazendo-o estar em pé","oîxamysyk sero'ama"
"Não existem mais absolutamente suas antigas terras","n'i tyb-angáî setãmbûera"
"Que quer dizer a gente em seu coração, dizendo isso para ela?","marã e'ipe asé o py'ape aîpó o'îabo i xupé?"
"Jazo acordado","aîubé"
"Jesus, o que eu desejo","îesu, xe remimotara"
"Fiz frustrar aquilo que fulano faria","aîmorambûerukar ahẽ rekorambûera"
"farinha de tipiaca, isto é, feita da mandioca crua coalhada em suspensão na água","typy'a-ku'i"
"Coloquei uma ponte, fiz uma ponte","anharybobõ-rung"
"por baixo das brenhas dela","iî aigûyra rupi nhẽ"
"Nós somos muitos","oré anangatu"
"Estão bem felizes","sory-porang"
"os que se compadecem de nós","îandé poreaûsubokara"
"Onde Tatapitera? Onde Caumondá?","umãpe tatapytera? umãpe ka'umondá?"
"aquele em quem se deve acreditar","serobîarypyra"
"Os que não são escondidos perdoa bem a eles","i kuakubypyre'yma i nhyrõngatu i xupé"
"Hoje mesmo","kori é"
"Foi ela feita para ser a futura mãe de Deus","tupã syrama ri i monhangymbyra"
"ensinamento da palavra de Deus","tupã nhe'enga morombo'esaba"
"Ele morre","se'õ"
"Eu hei de vingar-te","ixé t'oroepyk"
"O que perseguiu o cão de seu próximo","o apixara reîmbaba îagûara remimomosẽgûera"
"Esta aldeia, não disseste maldades a ela ainda?","ikó tabape, marã nd'eréîpe i xupé ranhẽ?"
"Ela tem pecados variadíssimos","i angaîpá-pará-pará"
"Ali ficai enquanto eu não vos informar acerca de vossa futura volta","ebapó ta peîkó pe îebyragûama resé ixé nde momorandube'yma pukuî"
"Saltei-o","aîapyrasab"
"Ele, após crescer, entregou-se aos homens maus, fazendo-se matar na cruz","a'e o kakuab'iré, i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé"
"Fizeste chegar o pagamento como retribuição de um trabalho?","eresepy-mondykype marãtekó repyramo?"
"Que coisas quer o diabo?","mba'e-mba'epe anhanga oîpotar?"
"Olhando na ponta dos teus olhos","nde resá-popybo ema'ẽmo"
"Serão bons, doravante, os que eu guardo de costume","i angaturam, ko'yré, xe remiarõ îandune"
"indo eu de noite","putũ gûixóbo"
"Forrei-o","aîapŷuban"
"Eu sou habilidoso","xe kyre'ym"
"Então também as almas de todos os que morreram virão quando forem chamadas","a'ereme bé opá omanõba'epûera 'angûera ruri o enõîndápe"
"Querendo imitar os atos de Nosso Senhor","îandé îara rekoagûera ra'anga motá"
"Seu sangue era muito, no chão escorrendo","sugûy turusu ybype osyryka"
"Aquele pão o padre o partiu, certamente","a'e miapepûera abaré oîmbo'i re'a"
"trazendo farpas junto com o arco","arupare'aka îurupara ndi seru"
"Que me livre Deus de meus inimigos, em toda parte, em minhas dificuldades","ta xe pysyrõ tupã xe sumarã suí kûepe marã xe rekoápe"
"Ao dizer ""Jesus"", o maldito tem medo","""jesu"" 'éreme, moxy sykyîéû"
"Desvirginaste alguma menina, furando-a, estuprando-a?","ereîmombukype kunhataĩ amõ, i mokûá, i mondoroka?"
"Eu tenho propensão a esquecer, eu sou esquecidiço","xe resaraî-potar"
"Todas as minhas presas de minhas mãos as levou","opakatu xe rembiara xe pó suí serasóû"
"Não ia para o céu outrora a alma de nenhum homem?","abá 'angûera amõ soe'ymi ybakype erimba'e?"
"Vem, dize o nome, ó sim, dos que tu venceste por aí","îori, esenõî angá kûeîbo nde remimoaûîé"
"Não mato","aîukae'ym"
"Eu tusso","xe u'u"
"É visto, com efeito, que ela conserva a incorruptibilidade dos cadáveres daqueles","sepîakypyra niã aîpoba'e re'ombûera o marane'yma rerekó"
"É muito terrível meu nome","i abaeté-katu xe rera"
"Com sua própria neta não pode ninguém casar-se","o emiminõ resé nd'e'ikatuî abá omendá"
"Oh, oxalá viesse!","té, temõ oú mã!"
"Impedem os casamentos, mandando impossibilitá-los","mendara omoarûab i moabaibuká"
"Tiveste relações sexuais com alguma mulher através das suas veredas na mata, como tua prostituta?","ereîkópe kunhã amõ resé i ka'asaba rupi nhẽ nde sugûaraîyramo?"
"Eia, depressa desviando-me","ne'ĩ, taûîé, xe reîyîa"
"A poeira dos pés arranca de minha casa, tua pousada sempre","eîpytybyrok xe roka, nde pytasaba îepi"
"Da mesma forma que o laço está parado e é o pássaro que vai para dentro dele","ma'etakó nhusana oín nhote, gûyrá aé osó i pupé"
"a abertura da saia dela","iî ikeboka"
"Apartaste alguma mulher de seu marido?","ereîmombo'irype kunhã amõ i mena suí?"
"Eu estou chagado, eu tenho muitas chagas","xe îá-xe îaó"
"Mas seria difícil para as pessoas comer minha carne","a'e iî abaíbymo abá supé xe ro'o 'u"
"pau do casco","apé-'yba"
"Estou pressionado","gûebirãîari nhote aîkó"
"cabeça de peixe","pirá akangûera"
"o sem mãe, o órfão de mãe","sye'yma"
"Lancei-o no chão","aîmombor ybype"
"Transgridem, certamente, algumas vezes, somente","oîaby ipó amõme é"
"Uma coroa de espinhos enroscados","-mba'epe onong i akanga 'arybo? -îuatĩ-apapûara apynha - que puseram sobre sua cabeça?"
"Ajudando-os sempre","i pytybõmo îepi"
"Não se arrependeram alguns de seus vitupérios?","nd'oîmoasyîpe amõ o nhe'engaibagûera?"
"Vem para persegui-lo","eîori i momosema"
"Para visitar a aldeia, eu fui à serra","taba supa, ybytyrype xe sóû"
"Embrulhei-o","aîapugûar"
"Sendo assim, de costume, o diabo fica muito insistente pela gente","nãneme amẽ anhanga îeîukaibetéû moroesé"
"Sustituindo suas palavras para os que o ouviram","ogûenduparûera supé o nhe'enga rekobîarõmo"
"Eu não estou forte","na xe pyatãî"
"Tu és a manhã, verdadeira alegria do dia","nde ko'ema, 'ara rorypabeté"
"Entregou-o bem em suas mãos","oîme'eng i pópe-katu"
"Que confesses a transgressão da palavra de Deus, a persistência nisso também","tupã nhe'enga abŷagûera t'ereîmombe'u, apore'ymagûera béno"
"Eu estou olheirento","xe resakûarumbyk"
"Como será que um habitante do inferno viveria neste mundo?","marãeté'ĩ ra'umope amõ anhanga ratá pora rekóû ikó 'ara pupé?"
"a cada dia","ara îabi'õ"
"Os bem-aventurados e os santos no céu, que vêem a Deus, ultrapassam o número dos dias que o ano tem","marangatuba'e, santos ybakype, tupã repîakaretá, osasá 'ara ro'y remierekó papasaba"
"Faço-as umas atrás das outras","aîmoîoakypûé-kypûer"
"Tu me atormentas","xe usũî îepé"
"Ficam invocando a morte","osekyî-sekyî te'õ"
"brandamente, suavemente","mbegûé-katu"
"Até mesmo em Deus este lança palavras","tupã resé tiruã kó nhe'enga reîtyki"
"Eis que tu mesma me denunciaste","nde é ã xe kuauká îepé"
"Mas sua vida é muito má","sekó-te i poxyeté"
"Ai! Por acaso é o Lourenço tostado?","kaî! rorẽ-ka'ẽ-piã?"
"sofrendo a fome e a sede","ambyasy, 'useîa porarábo"
"Tu fizeste mexericos, contando as palavras de teu próximo?","nde mba'epûerype, nde rapixarĩ nhe'engûera mombegûabo?"
"Santa Maria é o nome dela","santa maria sera"
"O sol faz as pessoas terem muita sede","kûarasy oporomo'y'useîeté"
"Eu sou travessa","xe resaarũaíb"
"Já se juntaram por causa disso muitos moços bebedores de cauim","onheŷnhang umã sesé kunumĩetá kagûara"
"Esforça-te por causa de Deus","enhemopyatã tupã resé"
"Três chefes chamados ""reis"" que vêm da direção do Oriente","mosapyr morubixaba ""reis"" 'îaba kûarasysembaba koty suí ouryba'e"
"Sua vista aguda desaparece, tapando-se seus ouvidos","sesapysopûera kanhemi, iî apysaká oîe'obo"
"Ó Pero!","pero gûe'y!"
"Manda pregá-lo na cruz","eîmoîar-ukar ybyraîoasaba resé"
"Muitíssimas coisas más eles acharão","mba'e-memûãngatupabẽ resé i îekosubyne"
"Não sentimos cansaço","n'îaîandubi kane'õ"
"Não dando para seu dono a coisa sumida que ele achou","mba'e-kanhema o basemagûera i îara supé i me'enge'yma"
"Hei de dar ova de peixe para ti","t'ame'ẽne pirá ruba endébo"
"Não há muitos restos deles","n'i tyb-etáî semyrûera"
"os que vêm do lado em que nasce o sol","kûarasy sembaba koty suí ouryba'e"
"É muito misericordiosa a mãe de Deus","i poraûsubá-katu tupã sy"
"Eu enviuvei","xe mene'õ"
"Saí há pouco dele","asẽ amo'ĩ i xuí"
"Não te apropries das coisas de ninguém","teumẽ abá mba'e resé é mondarõmo"
"var de chapéu em forma de cogumelo","akangaoburupé"
"É muito, com efeito, o grande zelo","setá nhẽ kunu'umusu"
"meu sobrinho","xe ri'yra"
"Para a coutada do rei ele foi para cortar madeira","morubixaba ybyragûype ahẽ sóû ybyrá 'apa"
"Eu, Tatapitera, inflamo os antigos ódios","xe, tatapytera asapy nhemoŷrõmbûera"
"Oh! Que há aqui, na verdade, semelhante a um canindé azul?","to! anhẽ, mba'epe ké kanindé-oby îasûara?"
"barrancos","yby'ã-by'ama"
"Jazo de lado","opemo aîub"
"Eu sou melhor que tu","xe katu-eté nde suí"
"Contar aos homens a futura felicidade deles","abá supé sekokatusagûama mombe'u"
"Paralelo a ele eu estava deitado","i porupy aîub"
"Eu arquejo","xe u'ukûar"
"Eu estou em pé","a'amĩ"
"cunha de fender lenha","îepe'a-mobokaba"
"Acaso todos os que estavam ali ficaram a injuriá-lo?","opabenhẽ serã erimba'e a'epe tekoara iî a'oîa'oû?"
"a que mata seu marido","o mena îukasara"
"Fi-lo suar","asyaîká"
"Meu filho!","xe ra'yt!"
"Vomitas cauim?","ereîmoîebype kaûĩ?"
"Eu estou tingido de jenipapo","xe îanypagûer"
"o que é dobrado","i poîoybyryba'e"
"Que coisas, pois, eu fiz hoje?","marã-marã-pakó îeí xe rekóû?"
"Surpreendeu-te Deus a deleitar-te com nossas palavras","nde resapy'ari tupã oré nhe'enga morypa"
"Peço a Pedro por roupa","aîeruré aoba resé pedro supé"
"Que sejamos corajosos, sim, suportando as coisas dolorosas","t'oré pyatã, angá, mba'easy porarábo"
"A mãe de Deus, senhora desta aldeia, não queirais apresá-la","tupã sy, kó tabyîara, na pemoembiá-potari"
"afastando o diabo","anhanga pe'abo"
"É famosa Guaraparim, tendo uma igreja","serapûan gûaraparĩ, tupãoka rerokupa"
"ponta de pedra","itá-atĩ"
"Os que assim dizem","nã e'iba'e"
"bolinho de pão","miapé-mirĩ"
"se for assim","emonãneme"
"Acaso tu és o rei dos judeus?","îudeus rubixabapiã nde?"
"Lentamente, enfim, o homem perde entendimento, sua vista aguda de outrora desaparece, tentando inutilmente a fala","mbegûé é ko'yté abá tekokuá kanhemi, sesapysopûera kanhemi, o nhe'engabûera ra'ang îepébo"
"Eu sou Guaixará, bebedor de cauim, grande boicininga","gûaîxará kagûara ixé, mboîtiningusu"
"O que se casa bem contra sua vontade","o emimotare'yma-katu omendaryba'e"
"Meu senhor, eis que eu não sou digno de que entres em meu coração","xe îar, na xe angaturami ã a'emo ereîké xe py'ape"
"Ele o faz em muito tempo","e'i ymuanĩ ahẽ i monhanga"
"Naquela época, após criar-se o mundo","akoraka'e 'ara nhemonhang'iré"
"Roga a Deus por nós, os que somos pecadores","etupãmongetá oré i angaîpaba'e resé"
"Tremendo, então, a terra também","yby abé a'ereme oryryîane"
"Sendo igual a Deus, está nas alturas","tupã moîoîapa, sekóû ybaté"
"Vamos, devagar, para queimar a terra dos malditos","t'îasó, mbegûé t'ixapy moxy retama"
"Que bom seria se eu fosse!","marãîasûaramo asó mã!"
"Hoje o matou","kori i îukáû"
"Hei de ir para cumprir essas palavras","t'asó aîpó nhe'enga mopó"
"Haveria de cair","a'arixûer"
"Não cozendo sequer sua comida","o emi'urama tiruã moîybe'yma"
"Bem que o chamei","îepé asenõî"
"Logo então, muito rapidamente, levou-o para sempre para o fogo","a'eîbé korite'ĩ-aíb-eté serasóû aûîeramanhẽ tatápe"
"Ataca-o, Sarauaia!","esepenhan, saraûaî!"
"A gente morrerá com sua crença também?","serobîara bépe asé ogûeromanõne?"
"Eu tenho o rosto muito curubento","xe robá-kuru-kurub"
"suas pajelanças, sua antiga crença nos pajés","i nhemopaîeagûera, i paîé rerobîaragûera"
"Vivo retirando-as [quando são muitas coisas]","anosẽ-sem"
"Eu me escafedo ao ir","xe rembykãî gûixóbo"
"Queremos amar-te muito, entregando-nos a ti","oroaûsu-potá-katu, oroîeme'enga endébo"
"Dei-o a meu pai","aîme'eng xe ruba pé"
"Que se lembre bem de que Deus branqueou sua alma","t'onhemoma'enduá-katu tupã o 'anga momorotingûera resé"
"Ah, eu estou muito quente aqui!","xe rakubeté kó mã!"
"marca de espada, sinal de ferimento com espada","itangapẽ-mbora"
"instrumento de aquentar o fogo, abano, abanador","tatá pegûaba"
"Caem, às vezes, os frutos das suas árvores, sendo ainda flores","okuî rakó amũme 'ybarambûera o 'yba suí ybotyramo oîkóbo bé"
"Ameaçaste alguém?","ereîmomburupe amõ?"
"Veio logo detrás de mim","xe atuaî bé turi"
"Usaste um homem como mulher ou usou-te como mulher um homem?","ereîmotebirype abá koîpó nde motebirype abá?"
"Em sua própria casa o desejo sensual consentindo","og okype îopotara repîakĩamo"
"Eu estou ficando pensativo","apyk gûitekóbo"
"Eu tenho bom abrigo, eu estou bem abrigado","xe 'ang - eu tenho abrigo, eu estou abrigado xe 'ãngatu"
"Tratando-se uns aos outros como que numa fraternidade","oîoasykûera ri îasûaramo oîoerekóbo"
"sardas do rosto","tobá pinima"
"Vituperaste teu pai, tua mãe, teu avô, tua avó?","ereîanga'ope nde ruba, nde sy, nde ramũîa, nde aryîa?"
"Não tendes ouvidos, como de costume","na pe apysáî, îandu"
"Nós somos portadores de riquezas para ele","oré ma'e îara ahẽ pé"
"Cuspi-o","anhomun"
"O que alguém acolhe no seu paganismo, no paganismo dele está igualmente?","og ere'yma pupé abá remipysyrõ oîabé sere'ỹme?"
"Foram de novo alguns soldados para quebrar as pernas daqueles dois ladrões","osó bé amõ maranaritekoara a'e mokõî mondabora retymã mopena"
"Dois filhotes de pomba sua mãe levou como oferenda","mokõî pykasu ra'yra i xy ogûerasó îetanongabamo"
"Que se guarde fulano de falar","te'itenhẽumẽ ahẽ onhe'enga"
"Por isso, ando com o provincial hoje","angari abaregûasu kori arogûatá"
"A canoa já está pronta","i aûîé umûã ygara"
"-Que é ungido de nós? -Nossas ancas","-mba'e-mba'epe asé suí i pitubypyra? -asé rumby"
"Eu somente beberei tudo","xe nhõ a'u pakatune"
"Reza a gente muito frequentemente para Santa Maria?","oîmongetá-py'i-py'ipe asé santa maria?"
